chirp_mass,mass_ratio,luminosity_distance,phase,theta_jn,dec,psi,phi
-1.7044668,-0.96960336,-0.72506386,0.12519549,-0.19718252,-0.17901099,-0.74933845,0.31895465
-1.6338272,-0.48471633,0.22150367,2.2411437,0.33547923,1.0274084,1.2827337,1.7395737
0.7491896,1.6402918,0.79299206,1.0313686,-0.037308242,0.97200614,-0.65809095,-1.3893535
0.8011241,1.3505386,1.0569096,0.66702574,-0.12917551,-0.45169127,1.2833163,0.29695466
-1.2072091,-0.84093505,0.36732587,-0.8201902,-0.22505476,1.0125368,0.5277473,1.8643714
0.8204658,1.4295503,1.0155406,0.6922316,-0.030504854,3.1559553,-1.3812145,-0.71987695
-0.010532902,0.19166122,0.9013734,-0.10223828,0.15113571,0.31796443,0.012625093,1.320795
-1.1462774,-0.8055015,0.5319307,0.8888571,0.11321358,2.359299,0.59601533,-0.39443502
-0.4162213,-0.42127547,1.2164677,-1.1778839,-0.19196893,1.0896033,0.6407942,0.11744596
-1.0306001,-0.19214249,1.1034074,-1.5688499,0.00983159,0.8088341,0.35600847,0.08929692
-0.8069131,-0.6725633,-1.2542952,0.34126392,-0.015399984,1.9325751,-0.113792226,0.40933663
0.51291496,0.1084249,1.0188284,1.6560576,0.011814836,2.6114545,1.2964293,-0.46271434
-1.2518234,-1.6713524,0.8350162,-0.46010587,0.16569425,1.2563648,0.525953,1.6665647
-1.2370119,1.2675114,0.70028406,-0.86454093,0.33278427,-0.052267432,-2.0606134,0.4800612
1.2457123,-1.2504258,1.1135917,-1.3949012,-0.1525371,-0.4251449,1.4637762,0.9041534
1.1639681,-1.4565158,1.2971551,-0.25609776,-0.48609754,0.33240426,-0.4896154,0.45213422
-1.5797513,-0.12253252,0.7677846,2.071286,-0.35710683,3.430016,-2.0908597,-1.3577216
-0.4997626,-1.252354,0.9069803,-0.36253864,0.02004356,1.9883789,0.43809542,-0.28245795
-0.32591075,0.09418212,0.5521046,1.5688514,-0.14065827,0.06876886,-0.31016955,0.773877
-0.84246606,-1.3989844,1.2068835,-0.24086773,0.5617785,2.751587,0.89639467,-0.7001508
-0.29349306,-1.2911825,0.6131879,0.9165161,0.22395611,0.9623639,-1.6365356,1.6524979
-0.7494743,-0.19200732,0.626443,0.15250243,-0.7782411,1.4218358,-1.2730069,1.6879839
-0.12506598,-0.49882832,1.102506,0.16359675,-0.19987337,1.5903815,-1.2744538,0.40977606
-0.91448635,-0.18098894,0.26834646,-0.11173211,-0.015035478,1.433,-0.7337132,0.05635693
-1.3456787,-1.7511272,0.86645114,-0.4212866,0.00406138,1.5378271,-1.3635564,-0.001731549
-1.5156227,-1.678543,0.97854894,-0.26903456,-0.89455026,0.04931152,-0.522115,0.8243436
1.0506985,1.0685732,0.28147405,0.38605055,-0.34473658,3.2611117,0.63507986,-1.642706
-1.218442,1.1740621,0.2570409,-0.5871556,0.09162455,0.83425194,2.2100973,1.4037338
0.6539744,-1.1542785,-0.46952438,0.40322804,0.24593833,1.404577,0.27992827,1.59486
-0.8181397,-1.2823173,1.2159002,0.14764228,0.21676172,0.15277743,-0.8425022,0.53933316
-1.7288358,1.4048718,0.6457128,-0.10274817,0.0036675292,-0.34113443,0.0068186456,-1.5552268
0.7684376,-1.0673984,1.2115629,-1.6978167,-0.3529387,2.9411244,3.4888852,-0.7504421
0.7735943,0.5094618,0.41402572,-0.49991414,-0.15474497,2.520047,0.87976336,0.1315267
0.09683038,-0.87929296,0.9309619,1.0752546,0.12763235,2.1907635,-0.2989257,-1.1392921
-0.8508676,-1.3637304,1.0344493,0.6379789,0.0069446033,1.3757763,0.994238,-0.14565088
-1.2140577,-1.7136881,1.0645545,1.1261652,-0.2873354,2.3686626,-0.74405074,0.084858626
0.17362826,-1.0540371,1.0779834,-1.7545185,-0.16306601,1.3061417,-0.109148376,-0.16967312
0.7077118,1.5441576,0.35031116,-0.08502718,0.37954655,0.49601388,-2.0170403,0.361464
-0.66895515,1.0532966,0.5519068,-0.7077723,-0.047416028,0.34212005,-1.0767555,1.3144642
0.34637973,-1.5535952,1.1345129,-0.71692985,0.09695948,3.513743,-0.7257728,-0.6667009
1.4501319,-0.90010923,0.8021367,0.58206093,0.15900473,0.6263483,0.6158387,1.9087608
0.9786012,-0.58092993,1.0630589,-0.26580456,-0.10790193,1.6777911,-0.95306456,1.3240986
-1.3733318,1.1998883,0.6861159,0.6862502,-0.25871897,1.0478607,0.5762963,0.054350697
-0.4207,0.2126877,0.2574604,-0.51944536,0.21814059,1.7897236,-0.20495997,-0.10353305
-0.7711954,-0.8669011,0.05521413,-0.47611743,0.61282694,0.34924924,0.6686196,0.37818477
-0.28389254,-0.5420977,0.2022451,0.27947503,0.39122835,-0.382967,0.87369496,0.2914907
-0.521611,-0.20363109,0.70012355,0.46852368,-0.18753956,1.7704607,-1.2519658,-0.017549487
-1.447974,-1.7333982,0.85129863,-0.28294864,-0.6690826,0.4829291,0.039398026,0.41606095
-0.49255016,-0.7676646,0.14192988,-0.7743428,-0.047384977,0.94974506,-1.1189113,1.4393768
-0.3685189,-0.15651514,0.4614415,0.2842136,-0.020017501,2.118605,-1.20666,0.021983221
1.2992386,-0.8890699,0.8699115,-0.4233796,0.1540073,2.377475,-0.16583018,-0.57923114
0.7247562,0.18171328,-0.04410097,0.018610096,-0.08493737,-0.33915567,0.517899,0.54802734
-0.6502891,-0.82310736,0.96558183,0.21144417,0.3858299,1.012132,-1.1154749,1.8413985
-0.44695693,-1.8096389,1.2341225,0.14681342,-0.61577076,1.363956,0.23643258,-0.017770117
-1.2328459,-0.70685464,1.2122098,1.990842,-0.14372048,1.5514909,-0.6302418,-0.64068747
1.6763333,-1.1099926,0.91199917,-0.9163967,0.08162305,-0.36208177,0.6185088,0.6895483
0.6848927,-1.5286508,1.186091,1.0439963,-0.007494989,1.1257107,1.3616942,-0.08827503
-1.1219505,-1.5573145,0.89896387,1.684472,0.25318292,2.0360827,0.72797227,-0.15853244
-0.93326116,-1.1227024,1.0969098,0.12611991,0.4222514,1.2343632,0.014595586,1.7402362
0.30592865,-0.17520788,1.285772,-0.3264083,0.08877592,0.55584013,0.61657685,1.5634187
0.3511095,-0.4944516,0.4610955,-1.8222167,-0.0154521605,0.7061049,-1.541705,0.84061325
-1.2555758,0.15362436,1.1651645,-0.027852802,-0.31279787,1.1161969,0.11039963,-0.06297497
-0.81522936,-1.3313986,0.49144554,-0.73114634,-0.36286703,1.4127403,-0.7546607,1.5618942
1.233894,1.5463712,1.0099587,-0.35707018,0.029006891,0.8512587,1.2278197,1.3334204
-1.0590675,0.6524206,1.1462429,0.827804,-0.44361016,0.5176511,2.6736095,1.8027886
1.8651836,1.5907563,-0.5591854,-0.9808707,0.09856943,2.414208,-0.73456573,0.412176
2.0709343,1.3318069,0.12790406,0.81730974,0.18433797,2.4859278,-1.1067929,-1.6794902
0.16830559,0.84699553,1.1066872,-0.6754239,0.037701286,0.6313749,-0.964898,1.0695521
0.5558717,1.4656289,0.10717534,-1.2701795,0.03321619,0.8309904,0.010456752,1.6220669
-0.9951624,0.30108503,0.60485476,1.400053,0.2978252,0.8849391,0.5442299,1.6753389
-0.05644664,-0.48085535,0.9758694,0.3183951,0.107576646,1.0808053,0.36977756,1.7263051
0.8983086,0.29036206,0.93418366,-0.8242642,-0.11690789,1.998076,0.8150737,-0.4217168
-1.4700712,-0.841778,1.0328615,-1.6088516,0.15286888,2.2793968,0.6036927,-0.31004208
-1.4789499,0.8048456,0.25159368,0.34442246,-0.124693416,0.50633836,-0.110516064,1.3454399
-0.1946729,-1.3828156,0.69673693,-0.16101131,0.09212527,-0.049084306,0.4437886,0.31700644
1.2418746,-1.5767893,0.5751867,-1.6599373,-0.12039488,2.2061646,0.8928268,-1.415576
-0.1029915,0.7718857,1.0212128,0.015142222,0.07162095,0.44221795,1.8442662,1.0544057
-0.25459388,-0.104659356,0.99603426,0.17883599,-0.18630657,-0.2592783,-0.497264,0.8674438
0.19389756,0.087313,0.58974314,-0.0957766,-0.1447161,0.37532306,0.2481783,0.85544467
-0.735381,-1.3063091,1.0460694,-0.4569696,-0.30096856,1.1572421,1.293691,1.5772911
1.4757534,-1.3041437,0.854296,-1.3724214,-0.10624922,0.0955987,1.6564305,0.84659904
1.3960148,-1.3747054,0.8277313,-0.76394904,-0.11630037,2.0559893,-1.573648,-0.92494357
0.4425539,-1.4367541,0.20092842,0.23574285,0.07205296,1.0936613,-1.204409,1.7248905
0.113710046,-0.9261654,0.20703158,1.6842151,-0.2507377,1.1278348,0.7891998,1.2190995
-0.7680881,-1.789649,1.2652382,1.4796793,0.12385801,1.0144628,0.1450713,0.18010472
-0.84791225,-1.9102404,1.1148925,-0.79023314,-0.29893905,2.1270378,-0.6025629,-0.783207
-0.00911118,-1.3671491,-0.18292086,1.9462413,-0.025368718,0.8139615,1.9378426,1.806859
-0.97727793,-0.28383753,0.67333126,0.66544545,0.21083212,0.40891623,0.5071218,1.494621
-0.9519512,-1.5817491,1.3407114,1.3847178,0.4590474,0.680687,-0.99359536,1.6366062
-1.7690561,0.4852844,1.0105093,0.4630422,-0.82510144,0.3894019,0.17578338,0.46197206
0.6737724,-0.48928252,0.4699442,-0.057073213,0.15447403,2.5926738,0.7219134,-0.028848318
-0.9770497,-1.1007195,0.9135693,0.37950692,0.08257347,2.5121891,-0.44151258,-0.90750706
1.4763832,1.5801755,0.8992829,0.060172394,-0.09782304,-0.044311166,-1.4926659,0.88428223
-0.13687631,-0.7160977,0.675971,1.1307418,-0.12624963,0.047649503,-1.4913234,1.2183079
1.5985559,1.6828499,1.2661586,-0.8861908,0.06890245,2.6408978,-1.1887292,-2.289837
1.1323566,1.7356974,0.85802156,0.6267192,-0.05830343,-0.37479913,-1.1557229,0.8701235
-1.1419413,-0.4092869,0.9342573,0.5905217,0.35896465,1.2280658,-1.0769411,1.4020115
0.040503714,0.20016669,-0.046860058,-1.4197867,0.1402341,2.8493013,0.5325881,-1.498358
1.5400732,-1.0533265,1.2320809,-0.60643375,0.57013035,1.1431106,-2.733642,1.6650468
-0.9203589,-0.58978224,0.7459731,0.053840943,0.21585743,0.2272054,-0.03441772,0.9012463
-1.0862485,0.549297,0.38302472,0.018716214,-0.13392772,0.59001386,0.42392138,-0.14531974
1.4091278,1.0362456,0.4771466,-0.50300074,-0.038263947,0.9487454,-0.88205683,2.0353842
0.065807715,-1.2450378,-0.025045175,-0.12096874,0.051050022,1.4311869,-0.28907797,1.4167678
-1.5556469,-1.2025656,0.7689175,0.29699188,0.19956897,-0.37347865,-0.61219406,0.5518481
0.7493129,0.09181104,-0.11079655,-0.7573062,0.029265264,1.0718536,-0.55717117,0.847599
1.6758919,1.5159395,-1.2352661,0.6312419,-0.13847223,2.5394223,0.558875,-1.5963109
0.77014446,-1.4945863,0.89480287,0.19301158,0.1475568,-0.09443247,0.30016443,0.743835
-0.36684537,-0.10873657,1.0384995,-1.299158,-0.07541345,1.071905,0.06382754,1.341118
-1.1484666,-1.1277719,0.9915319,-1.8137089,-0.01286941,-0.36398363,-1.4724884,0.45865265
1.4751513,-0.23677218,0.96467316,-1.0057594,0.25526983,-0.02866888,1.4305001,0.9490252
-0.14137009,-0.90330887,0.8049219,-1.8566632,0.28311482,1.0291243,-0.31939426,1.371576
-0.12176185,-0.4397593,1.3009801,0.21020123,0.3944229,-0.20338905,-0.064399615,0.61168617
-1.9419762,1.6755672,-0.55427796,0.16434748,-0.15942882,1.1346323,1.2676728,1.4230071
-0.8301016,1.5282539,1.2114127,2.4539464,-0.507915,2.430018,0.8928938,-0.10454279
1.7469568,0.7625435,0.21669888,0.84924376,-0.12615596,0.7689846,0.2329316,0.40389636
0.36956683,-0.35363248,1.0727355,0.66071415,0.34696168,2.0632486,0.22566934,-0.13221204
1.5308653,-1.1872692,0.79866713,-2.337435,0.43142793,1.1448594,-0.5025738,1.6995379
-1.6477487,0.41364285,0.5862392,-1.5327544,-0.46454343,0.8936747,1.4819623,1.8111303
-1.3718263,0.31588373,1.0731864,0.05197391,0.11479652,2.2387621,0.9502414,-0.14431229
0.6254846,-0.040938992,0.8078059,0.28943238,0.14683075,0.20529675,-1.161696,-0.1795416
-1.3541934,-0.5757547,-0.3757004,0.019525511,-0.13194233,1.135953,1.2092661,1.597039
-1.0531265,0.9735073,0.76648635,2.577886,-0.3131119,0.49393332,-0.35425472,1.5134615
-0.5394743,-1.492216,0.9411058,2.0711002,0.4708156,1.2095376,0.9979043,1.7431704
